country,region,income_group,year,population,gdp_usd,total_electricity_generation_twh,electricity_demand_twh,solar_electricity_twh,wind_electricity_twh,renewables_electricity_twh,hydro_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,solar_share_pct,wind_share_pct,renewables_share_pct,fossil_share_pct,low_carbon_share_pct,carbon_intensity_gco2_kwh,co2_saved_solar_wind_mt,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct,policy_milestone
Brazil,South America,Upper-middle,2002,178503485.0,1861742323845.0,345.72,382.28,0.0,0.06,296.42,286.09,13.84,35.46,0.0,0.017,85.74,10.257,89.743,97.3,0.03,,100.0,7.0,
Brazil,South America,Upper-middle,2003,180622688.0,1904932706436.0,364.39,402.58,0.0,0.06,317.62,305.62,13.36,33.41,0.0,0.016,87.165,9.169,90.831,90.67,0.03,,0.0,7.2,
Brazil,South America,Upper-middle,2004,182675144.0,2038447931287.0,387.49,424.87,0.0,0.06,333.38,320.8,11.61,42.5,0.0,0.015,86.036,10.968,89.032,101.78,0.03,,0.0,5.0,
Brazil,South America,Upper-middle,2005,184688101.0,2129214530430.0,403.07,442.11,0.0,0.09,351.19,337.46,9.85,42.03,0.0,0.022,87.129,10.427,89.573,98.89,0.04,,50.0,5.3,
Brazil,South America,Upper-middle,2006,186653099.0,2240805319046.0,419.45,460.61,0.0,0.24,363.89,348.8,13.75,41.81,0.0,0.057,86.754,9.968,90.032,95.96,0.11,,166.7,3.6,
Brazil,South America,Upper-middle,2007,188552311.0,2405626901513.0,445.15,483.98,0.0,0.66,392.74,374.02,12.35,40.06,0.0,0.148,88.226,8.999,91.001,90.91,0.3,,175.0,7.9,
Brazil,South America,Upper-middle,2008,190367297.0,2559842659987.0,463.18,505.39,0.0,1.18,390.53,369.56,13.97,58.68,0.0,0.255,84.315,12.669,87.331,113.63,0.53,,78.8,-0.6,
Brazil,South America,Upper-middle,2009,192079958.0,2589568436235.0,466.17,506.15,0.0,1.24,415.11,390.99,12.96,38.1,0.0,0.266,89.047,8.173,91.827,87.37,0.56,,5.1,6.3,
Brazil,South America,Upper-middle,2010,193701931.0,2820492538862.0,515.8,550.45,0.0,2.18,437.41,403.29,14.52,63.87,0.0,0.423,84.802,12.383,87.617,114.15,0.98,,75.8,5.4,
Brazil,South America,Upper-middle,2011,195284736.0,2968455007203.0,531.76,567.65,0.0,2.7,463.66,428.33,15.66,52.44,0.0,0.508,87.193,9.862,90.138,99.76,1.22,,23.9,6.0,
Brazil,South America,Upper-middle,2012,196876113.0,3025484250011.0,552.5,592.76,0.0,5.05,456.16,415.34,16.04,80.3,0.0,0.914,82.563,14.534,85.466,128.34,2.27,,87.0,-1.6,
Brazil,South America,Upper-middle,2013,198478290.0,3116394665745.0,570.83,611.16,0.0,6.58,438.54,390.99,15.45,116.84,0.0,1.153,76.825,20.468,79.532,167.84,2.96,,30.3,-3.9,
Brazil,South America,Upper-middle,2014,200085126.0,3132099937531.0,590.55,624.33,0.02,12.21,432.75,373.44,15.38,142.42,0.003,2.068,73.279,24.117,75.883,192.94,5.5,inf,85.6,-1.3,
Brazil,South America,Upper-middle,2015,201675534.0,3021043246476.0,581.22,615.64,0.06,21.63,431.31,359.74,14.73,135.18,0.01,3.721,74.208,23.258,76.742,188.64,9.76,200.0,77.1,-0.3,45% renewables in energy mix target
Brazil,South America,Upper-middle,2016,203218108.0,2922076150345.0,578.89,619.68,0.09,33.49,465.82,380.91,15.86,97.21,0.016,5.785,80.468,16.792,83.208,149.65,15.11,50.0,54.8,8.0,
Brazil,South America,Upper-middle,2017,204703440.0,2960731613785.0,589.32,625.67,0.83,42.37,467.02,370.91,15.74,106.56,0.141,7.19,79.247,18.082,81.918,155.88,19.44,822.2,26.5,0.3,
Brazil,South America,Upper-middle,2018,206107265.0,3013541086239.0,601.39,636.37,3.46,48.48,495.29,388.97,15.67,90.43,0.575,8.061,82.358,15.037,84.963,136.95,23.37,316.9,14.4,6.1,
Brazil,South America,Upper-middle,2019,207455459.0,3050327159562.0,633.33,658.29,6.65,55.99,515.44,397.88,16.13,101.76,1.05,8.841,81.386,16.067,83.933,141.93,28.19,92.2,15.5,4.1,
Brazil,South America,Upper-middle,2020,208660845.0,2950377451264.0,628.76,653.48,10.75,57.05,522.92,396.38,14.05,91.79,1.71,9.073,83.167,14.599,85.401,133.36,30.51,61.7,1.9,1.5,
Brazil,South America,Upper-middle,2021,209550291.0,3097565215045.0,656.4,679.5,16.75,72.29,507.87,362.82,14.7,133.83,2.552,11.013,77.372,20.388,79.612,168.07,40.07,55.8,26.7,-2.9,
Brazil,South America,Upper-middle,2022,210306411.0,3187412907763.0,677.16,690.07,30.13,81.63,593.89,427.11,14.56,68.71,4.449,12.055,87.703,10.147,89.853,103.39,50.29,79.9,12.9,16.9,
Brazil,South America,Upper-middle,2023,211140731.0,,708.12,723.23,50.63,95.8,630.19,426.0,14.5,63.43,7.15,13.529,88.995,8.958,91.042,96.26,65.89,68.0,17.4,6.1,
Brazil,South America,Upper-middle,2024,211998565.0,,745.72,757.31,71.32,108.49,651.26,413.21,15.78,78.68,9.564,14.548,87.333,10.551,89.449,106.06,80.91,40.9,13.2,3.3,
Brazil,South America,Upper-middle,2025,212812397.0,,750.53,762.12,88.64,117.58,649.97,388.63,15.87,84.69,11.81,15.666,86.601,11.284,88.716,109.95,92.8,24.3,8.4,-0.2,
Canada,North America,High,2000,30891800.0,1137681278760.0,603.82,567.99,0.02,0.26,365.96,356.76,72.29,165.57,0.003,0.043,60.607,27.42,72.58,245.69,0.13,,,,
Canada,North America,High,2001,31213578.0,1161459919261.0,587.76,565.46,0.02,0.33,341.54,331.52,76.16,170.06,0.003,0.056,58.109,28.934,71.066,255.65,0.16,0.0,26.9,-6.7,
Canada,North America,High,2002,31535579.0,1199865635264.0,599.79,578.48,0.02,0.41,359.75,349.27,75.0,165.04,0.003,0.068,59.979,27.516,72.484,245.12,0.19,0.0,24.2,5.3,
Canada,North America,High,2003,31836483.0,1224575760991.0,588.27,582.53,0.02,0.69,346.27,336.14,74.37,167.63,0.003,0.117,58.862,28.495,71.505,251.64,0.32,0.0,68.3,-3.7,
Canada,North America,High,2004,32132680.0,1265917327101.0,598.5,587.97,0.01,0.94,349.15,338.4,89.76,159.59,0.002,0.157,58.338,26.665,73.335,235.34,0.43,-50.0,36.2,0.8,
Canada,North America,High,2005,32440172.0,1310077836124.0,620.5,596.65,0.02,1.57,372.71,361.96,91.4,156.39,0.003,0.253,60.066,25.204,74.796,225.01,0.72,100.0,67.0,6.7,
Canada,North America,High,2006,32759174.0,1348293394113.0,608.43,589.32,0.02,2.47,364.32,352.89,97.28,146.83,0.003,0.406,59.879,24.133,75.867,216.51,1.12,0.0,57.3,-2.3,
Canada,North America,High,2007,33092171.0,1379925831954.0,634.19,603.24,0.03,3.01,379.65,367.62,92.83,161.71,0.005,0.475,59.864,25.499,74.501,227.76,1.37,50.0,21.9,4.2,
Canada,North America,High,2008,33449088.0,1397938727409.0,635.11,602.95,0.04,3.79,389.3,377.49,95.35,150.46,0.006,0.597,61.296,23.69,76.31,213.48,1.72,33.3,25.9,2.5,
Canada,North America,High,2009,33826370.0,1360538049277.0,613.87,580.25,0.11,6.64,384.38,368.69,89.46,140.03,0.018,1.082,62.616,22.811,77.189,204.33,3.04,175.0,75.2,-1.3,
Canada,North America,High,2010,34196900.0,1406355361431.0,607.03,582.01,0.26,8.72,370.67,351.39,90.03,146.33,0.043,1.437,61.063,24.106,75.894,214.78,4.04,136.4,31.3,-3.6,
Canada,North America,High,2011,34555449.0,1454221365109.0,638.27,601.59,0.57,10.19,396.69,375.72,92.94,148.64,0.089,1.597,62.151,23.288,76.712,206.18,4.84,119.2,16.9,7.0,
Canada,North America,High,2012,34922513.0,1479829523672.0,636.54,589.79,0.88,11.31,403.37,380.27,94.2,138.97,0.138,1.777,63.369,21.832,78.168,193.39,5.49,54.4,11.0,1.7,
Canada,North America,High,2013,35293421.0,1514296485427.0,655.69,603.81,1.5,11.15,415.48,391.79,102.72,137.49,0.229,1.7,63.365,20.969,79.031,186.96,5.69,70.5,-1.4,3.0,
Canada,North America,High,2014,35634265.0,1557757464897.0,652.97,607.36,2.12,12.82,407.24,382.5,106.54,139.19,0.325,1.963,62.367,21.316,78.684,188.86,6.72,41.3,15.0,-2.0,
